doesntmatter,state_name,state_code,statefips,state_q
1,Alabama,AL,1,1
1,Alaska,AK,2,
1,Arizona,AZ,4,3
1,Arkansas,AR,5,4
1,California,CA,6,
1,Colorado,CO,8,
1,Connecticut,CT,9,
1,Delaware,DE,10,8
1,Florida,FL,12,10
1,Georgia,GA,13,11
1,Hawaii,HI,15,
1,Idaho,ID,16,
1,Illinois,IL,17,14
1,Indiana,IN,18,15
1,Iowa,IA,19,16
1,Kansas,KS,20,17
1,Kentucky,KY,21,18
1,Louisiana,LA,22,19
1,Maine,ME,23,
1,Maryland,MD,24,21
1,Massachusetts,MA,25,
1,Michigan,MI,26,
1,Minnesota,MN,27,24
1,Mississippi,MS,28,25
1,Missouri,MO,29,26
1,Montana,MT,30,
1,Nebraska,NE,31,28
1,Nevada,NV,32,
1,New Hampshire,NH,33,
1,New Jersey,NJ,34,
1,New Mexico,NM,35,
1,New York,NY,36,
1,North Carolina,NC,37,34
1,North Dakota,ND,38,35
1,Ohio,OH,39,36
1,Oklahoma,OK,40,37
1,Oregon,OR,41,
1,Pennsylvania,PA,42,
1,Rhode Island,RI,44,
1,South Carolina,SC,45,42
1,South Dakota,SD,46,43
1,Tennessee,TN,47,44
1,Texas,TX,48,45
1,Utah,UT,49,
1,Vermont,VT,50,
1,Virginia,VA,51,
1,Washington,WA,53,
1,West Virginia,WV,54,
1,Wisconsin,WI,55,51
1,Wyoming,WY,56,
1,American Samoa,AS,60,
1,Guam,GU,66,
1,Northern Mariana Islands,MP,69,
1,Puerto Rico,PR,72,
1,Virgin Islands,VI,78,
